"","argumentTypeId","decimalLatitude","decimalLongitude","eventDateUnixEpoch","interactionTypeId","interactionTypeName","localityId","localityName","referenceCitation","referenceDoi","referenceUrl","sourceArchiveURI","sourceBasisOfRecordId","sourceBasisOfRecordName","sourceBodyPartId","sourceBodyPartName","sourceCatalogNumber","sourceCitation","sourceCollectionCode","sourceDOI","sourceId","sourceInstitutionCode","sourceLastSeenAtUnixEpoch","sourceLifeStageId","sourceLifeStageName","sourceNamespace","sourceOccurrenceId","sourcePhysiologicalStateId","sourcePhysiologicalStateName","sourceSexId","sourceSexName","sourceTaxonClassId","sourceTaxonClassName","sourceTaxonFamilyId","sourceTaxonFamilyName","sourceTaxonGenusId","sourceTaxonGenusName","sourceTaxonId","sourceTaxonIds","sourceTaxonKingdomId","sourceTaxonKingdomName","sourceTaxonName","sourceTaxonOrderId","sourceTaxonOrderName","sourceTaxonPathIds","sourceTaxonPathNames","sourceTaxonPathRankNames","sourceTaxonPhylumId","sourceTaxonPhylumName","sourceTaxonRank","sourceTaxonSpeciesId","sourceTaxonSpeciesName","targetArchiveURI","targetBasisOfRecordId","targetBasisOfRecordName","targetBodyPartId","targetBodyPartName","targetCatalogNumber","targetCitation","targetCollectionCode","targetDOI","targetId","targetInstitutionCode","targetLastSeenAtUnixEpoch","targetLifeStageId","targetLifeStageName","targetNamespace","targetOccurrenceId","targetPhysiologicalStateId","targetPhysiologicalStateName","targetSexId","targetSexName","targetTaxonClassId","targetTaxonClassName","targetTaxonFamilyId","targetTaxonFamilyName","targetTaxonGenusId","targetTaxonGenusName","targetTaxonId","targetTaxonIds","targetTaxonKingdomId","targetTaxonKingdomName","targetTaxonName","targetTaxonOrderId","targetTaxonOrderName","targetTaxonPathIds","targetTaxonPathNames","targetTaxonPathRankNames","targetTaxonPhylumId","targetTaxonPhylumName","targetTaxonRank","targetTaxonSpeciesId","targetTaxonSpeciesName","resolvedPlantNames","New.Genus","New.Species","resolvedBeeNames","Insect","Plant","tot","Prez","resolvedSource"
"17642","https://en.wiktionary.org/wiki/support",34.35416,-119.05927,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Paula","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"PUB12445","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"unknown sex",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:2498","Boraginaceae","GBIF:8988077","Phacelia","GBIF:2928258","GBIF:2928049 | GBIF:2928258 | GBIF:8456697 | GBIF:8988077 | INAT_TAXON:49347 | INAT_TAXON:50617 | IRMNG:11087568 | IRMNG:1352037 | ITIS:31433 | ITIS:31585 | NCBI:79394 | WD:Q133285 | WD:Q7179929","GBIF:6","Plantae","Phacelia ramosissima","GBIF:7226464","Boraginales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7226464 | GBIF:2498 | GBIF:8988077 | GBIF:2928258","Plantae | Tracheophyta | Magnoliopsida | Boraginales | Boraginaceae | Phacelia | Phacelia ramosissima","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2928258","Phacelia ramosissima","Phacelia ramosissima","Phacelia","ramosissima","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17648","https://en.wiktionary.org/wiki/support",34.21639,-117.40143,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Devore","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"PUB12167","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:2498","Boraginaceae","GBIF:8988077","Phacelia","GBIF:2928258","GBIF:2928049 | GBIF:2928258 | GBIF:8456697 | GBIF:8988077 | INAT_TAXON:49347 | INAT_TAXON:50617 | IRMNG:11087568 | IRMNG:1352037 | ITIS:31433 | ITIS:31585 | NCBI:79394 | WD:Q133285 | WD:Q7179929","GBIF:6","Plantae","Phacelia ramosissima","GBIF:7226464","Boraginales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7226464 | GBIF:2498 | GBIF:8988077 | GBIF:2928258","Plantae | Tracheophyta | Magnoliopsida | Boraginales | Boraginaceae | Phacelia | Phacelia ramosissima","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2928258","Phacelia ramosissima","Phacelia ramosissima","Phacelia","ramosissima","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17654","https://en.wiktionary.org/wiki/support",33.95,-117.39,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Riverside","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"PUB12086","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INAT_TAXON:47124","Magnoliopsida","INAT_TAXON:48150","Boraginaceae","INAT_TAXON:49347","Phacelia","INAT_TAXON:56631","GBIF:2928156 | INAT_TAXON:56631 | IRMNG:10205487 | ITIS:31485 | NCBI:281504","INAT_TAXON:47126","Plantae","Phacelia distans","INAT_TAXON:523723","Boraginales","INAT_TAXON:47126 | INAT_TAXON:211194 | INAT_TAXON:47125 | INAT_TAXON:47124 | INAT_TAXON:523723 | INAT_TAXON:48150 | INAT_TAXON:49347 | INAT_TAXON:56631","Plantae | Tracheophyta | Angiospermae | Magnoliopsida | Boraginales | Boraginaceae | Phacelia | Phacelia distans","kingdom | phylum | subphylum | class | order | family | genus | species","INAT_TAXON:211194","Tracheophyta","species","INAT_TAXON:56631","Phacelia distans","Phacelia distans","Phacelia","distans","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17657","https://en.wiktionary.org/wiki/support",33.95,-117.39,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Riverside","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"PUB12083","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:2498","Boraginaceae","GBIF:8988077","Phacelia","GBIF:2928258","GBIF:2928049 | GBIF:2928258 | GBIF:8456697 | GBIF:8988077 | INAT_TAXON:49347 | INAT_TAXON:50617 | IRMNG:11087568 | IRMNG:1352037 | ITIS:31433 | ITIS:31585 | NCBI:79394 | WD:Q133285 | WD:Q7179929","GBIF:6","Plantae","Phacelia ramosissima","GBIF:7226464","Boraginales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7226464 | GBIF:2498 | GBIF:8988077 | GBIF:2928258","Plantae | Tracheophyta | Magnoliopsida | Boraginales | Boraginaceae | Phacelia | Phacelia ramosissima","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2928258","Phacelia ramosissima","Phacelia ramosissima","Phacelia","ramosissima","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17664","https://en.wiktionary.org/wiki/support",33.99973,-117.91756,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Puente Hills","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"PUB11822","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INAT_TAXON:47124","Magnoliopsida","INAT_TAXON:48150","Boraginaceae","INAT_TAXON:49347","Phacelia","INAT_TAXON:56631","GBIF:2928156 | INAT_TAXON:56631 | IRMNG:10205487 | ITIS:31485 | NCBI:281504","INAT_TAXON:47126","Plantae","Phacelia distans","INAT_TAXON:523723","Boraginales","INAT_TAXON:47126 | INAT_TAXON:211194 | INAT_TAXON:47125 | INAT_TAXON:47124 | INAT_TAXON:523723 | INAT_TAXON:48150 | INAT_TAXON:49347 | INAT_TAXON:56631","Plantae | Tracheophyta | Angiospermae | Magnoliopsida | Boraginales | Boraginaceae | Phacelia | Phacelia distans","kingdom | phylum | subphylum | class | order | family | genus | species","INAT_TAXON:211194","Tracheophyta","species","INAT_TAXON:56631","Phacelia distans","Phacelia distans","Phacelia","distans","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17701","https://en.wiktionary.org/wiki/support",34.04695,-116.58084,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Morongo Valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"KWC0010953","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOL:283","Magnoliopsida","EOL:4277","Fabaceae","EOL:27791","Lotus","EOL:702889","EOL:702889 | GBIF:5357013 | GBIF:9133728 | INAT_TAXON:47435 | IRMNG:10926567 | ITIS:26362 | NCBI:47247 | WD:Q29907 | WORMS:426010 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Lotus_corniculatus_Linnaeus_1753 | http://treatment.plazi.org/id/054FAE4095F4B0548B9185BB73DC5B2E","EOL_V2:281","Plantae","Lotus corniculatus","EOL:4276","Fabales","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4276 | EOL:4277 | EOL:27791 | EOL:702889","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus | Lotus corniculatus","kingdom | phylum | class | order | family | genus | species","EOL:4077","Tracheophyta","species","EOL:702889","Lotus corniculatus","Lotus corniculatus","Lotus","corniculatus","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17702","https://en.wiktionary.org/wiki/support",34.04695,-116.58084,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Morongo Valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"KWC0010952","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOL:283","Magnoliopsida","EOL:4277","Fabaceae","EOL:27791","Lotus","EOL:702889","EOL:702889 | GBIF:5357013 | GBIF:9133728 | INAT_TAXON:47435 | IRMNG:10926567 | ITIS:26362 | NCBI:47247 | WD:Q29907 | WORMS:426010 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Lotus_corniculatus_Linnaeus_1753 | http://treatment.plazi.org/id/054FAE4095F4B0548B9185BB73DC5B2E","EOL_V2:281","Plantae","Lotus corniculatus","EOL:4276","Fabales","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4276 | EOL:4277 | EOL:27791 | EOL:702889","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus | Lotus corniculatus","kingdom | phylum | class | order | family | genus | species","EOL:4077","Tracheophyta","species","EOL:702889","Lotus corniculatus","Lotus corniculatus","Lotus","corniculatus","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17703","https://en.wiktionary.org/wiki/support",34.04695,-116.58084,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Morongo Valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"KWC0010951","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOL:283","Magnoliopsida","EOL:4277","Fabaceae","EOL:27791","Lotus","EOL:702889","EOL:702889 | GBIF:5357013 | GBIF:9133728 | INAT_TAXON:47435 | IRMNG:10926567 | ITIS:26362 | NCBI:47247 | WD:Q29907 | WORMS:426010 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Lotus_corniculatus_Linnaeus_1753 | http://treatment.plazi.org/id/054FAE4095F4B0548B9185BB73DC5B2E","EOL_V2:281","Plantae","Lotus corniculatus","EOL:4276","Fabales","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4276 | EOL:4277 | EOL:27791 | EOL:702889","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus | Lotus corniculatus","kingdom | phylum | class | order | family | genus | species","EOL:4077","Tracheophyta","species","EOL:702889","Lotus corniculatus","Lotus corniculatus","Lotus","corniculatus","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17704","https://en.wiktionary.org/wiki/support",34.04695,-116.58084,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Morongo Valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"KWC0010950","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOL:283","Magnoliopsida","EOL:4277","Fabaceae","EOL:27791","Lotus","EOL:702889","EOL:702889 | GBIF:5357013 | GBIF:9133728 | INAT_TAXON:47435 | IRMNG:10926567 | ITIS:26362 | NCBI:47247 | WD:Q29907 | WORMS:426010 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Lotus_corniculatus_Linnaeus_1753 | http://treatment.plazi.org/id/054FAE4095F4B0548B9185BB73DC5B2E","EOL_V2:281","Plantae","Lotus corniculatus","EOL:4276","Fabales","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4276 | EOL:4277 | EOL:27791 | EOL:702889","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus | Lotus corniculatus","kingdom | phylum | class | order | family | genus | species","EOL:4077","Tracheophyta","species","EOL:702889","Lotus corniculatus","Lotus corniculatus","Lotus","corniculatus","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
"17705","https://en.wiktionary.org/wiki/support",34.04695,-116.58084,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Morongo Valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"KWC0010949","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOL:283","Magnoliopsida","EOL:4277","Fabaceae","EOL:27791","Lotus","EOL:702889","EOL:702889 | GBIF:5357013 | GBIF:9133728 | INAT_TAXON:47435 | IRMNG:10926567 | ITIS:26362 | NCBI:47247 | WD:Q29907 | WORMS:426010 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Lotus_corniculatus_Linnaeus_1753 | http://treatment.plazi.org/id/054FAE4095F4B0548B9185BB73DC5B2E","EOL_V2:281","Plantae","Lotus corniculatus","EOL:4276","Fabales","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4276 | EOL:4277 | EOL:27791 | EOL:702889","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus | Lotus corniculatus","kingdom | phylum | class | order | family | genus | species","EOL:4077","Tracheophyta","species","EOL:702889","Lotus corniculatus","Lotus corniculatus","Lotus","corniculatus","Anthidium collectum",1,1,2,1,"Bee Biology and Systematics Laboratory"
