family	genus	specificEpithet	infraSpecificEpithet	ScientificName
Acanthaceae	Blechum	pyramidatum		Blechum pyramidatum
Acanthaceae	Elytraria	imbricata		Elytraria imbricata
Acanthaceae				Justicia galapagana
Aceraceae	Acer	macrophyllum		Acer macrophyllum
Achatocarpaceae	Phaulothamnus	spinescens		Phaulothamnus spinescens
Adoxaceae	Sambucus	mexicana		Sambucus mexicana
Adoxaceae	Sambucus	nigra	caerulea	Sambucus nigra subsp. caerulea
Agavaceae	Agave	americana		Agave americana
Agavaceae	Yucca			Yucca
Aizoaceae	Carpobrotus	chilensis		Carpobrotus chilensis
Aizoaceae	Carpobrotus	edulis		Carpobrotus edulis
Aizoaceae	Mesembryanthemum	crystallinum		Mesembryanthemum crystallinum
Aizoaceae	Mesembryanthemum	nodiflorum		Mesembryanthemum nodiflorum
Aizoaceae				Sesuvium edmondstonii
Aizoaceae	Sesuvium	portulacastrum		Sesuvium portulacastrum
Aizoaceae	Tetragonia	tetragonioides		Tetragonia tetragonioides
Aizoaceae				Tetragonia tetragonoides
Aizoaceae	Trianthema	portulacastrum		Trianthema portulacastrum
Alliaceae	Allium			Allium
Alliaceae	Allium	praecox		Allium praecox
Amaranthaceae	Alternanthera			Alternanthera
Amaranthaceae	Alternanthera	echinocephala		Alternanthera echinocephala
Amaranthaceae				Alternanthera filifolia subsp. filifolia
Amaranthaceae				Alternanthera halimifolia
Amaranthaceae	Amaranthus	albus		Amaranthus albus
Amaranthaceae				Amaranthus anderssonii
Amaranthaceae	Amaranthus	blitoides		Amaranthus blitoides
Amaranthaceae				Amaranthus blitoides?
Amaranthaceae	Amaranthus	deflexus		Amaranthus deflexus
Amaranthaceae				Amaranthus furcatus
Amaranthaceae	Amaranthus	gracilis		Amaranthus gracilis
Amaranthaceae				Amaranthus hybridus subsp. quitensis
Amaranthaceae	Amaranthus	lividus		Amaranthus lividus
Amaranthaceae	Amaranthus	powellii		Amaranthus powellii
Amaranthaceae				Amaranthus scleranthoides
Amaranthaceae	Amaranthus	spinosus		Amaranthus spinosus
Amaranthaceae				Amaranthus squamulatus
Amaranthaceae				Arthroceras subterminale
Amaranthaceae	Arthrocnemum	subterminale		Arthrocnemum subterminale
Amaranthaceae	Atriplex			Atriplex
Amaranthaceae	Atriplex	argentea		Atriplex argentea
Amaranthaceae	Atriplex	argentea	expansa	Atriplex argentea subsp. expansa
Amaranthaceae	Atriplex	californica		Atriplex californica
Amaranthaceae	Atriplex	hastata		Atriplex hastata
Amaranthaceae	Atriplex	lentiformis	breweri	Atriplex lentiformis subsp. breweri
Amaranthaceae	Atriplex	lentiformis	lentiformis	Atriplex lentiformis subsp. lentiformis
Amaranthaceae	Atriplex	leucophylla		Atriplex leucophylla
Amaranthaceae	Atriplex	patula	hastata	Atriplex patula subsp. hastata
Amaranthaceae	Atriplex	prostrata		Atriplex prostrata
Amaranthaceae	Atriplex	semibaccata		Atriplex semibaccata
Amaranthaceae	Atriplex	subspicata		Atriplex subspicata
Amaranthaceae	Atriplex	triangularis		Atriplex triangularis
Amaranthaceae	Atriplex	watsonii		Atriplex watsonii
Amaranthaceae	Beta	vulgaris	macrocarpa	Beta vulgaris subsp. macrocarpa
Amaranthaceae				Chenopodiastrum murale
Amaranthaceae	Chenopodium			Chenopodium
Amaranthaceae	Chenopodium	album		Chenopodium album
Amaranthaceae	Chenopodium	ambrosioides		Chenopodium ambrosioides
Amaranthaceae				Chenopodium ambrosioides var. suffruticosum
Amaranthaceae	Chenopodium	berlandieri		Chenopodium berlandieri
