Family	Genus	Species	ScientificName	ScientificNameAuthorship
Saururaceae	Anemopsis	californica 	Anemopsis californica	(Nutt.) Hook. & Arn.
Adoxaceae	Sambucus	nigra 	Sambucus nigra	L. subsp. caerulea (Raf.) Bolli
Aizoaceae	Carpobrotus	chilensis 	Carpobrotus chilensis	(Molina) N.E. Br.
Aizoaceae	Carpobrotus	edulis 	Carpobrotus edulis	(L.) N.E. Br.
Aizoaceae	Mesembryanthemum	crystallinum 	Mesembryanthemum crystallinum	L.
Aizoaceae	Mesembryanthemum	nodiflorum 	Mesembryanthemum nodiflorum	L.
Aizoaceae	Tetragonia	tetragonioides 	Tetragonia tetragonioides	(Pall.) Kuntze
Amaranthaceae	Amaranthus	albus 	Amaranthus albus	L.
Amaranthaceae	Amaranthus	blitoides 	Amaranthus blitoides	S.Watson
Amaranthaceae	Amaranthus	deflexus 	Amaranthus deflexus	L.
Amaranthaceae	Amaranthus	powellii 	Amaranthus powellii	S.Watson
Anacardiaceae	Rhus	integrifolia 	Rhus integrifolia	(Nutt.) Rothr.
Anacardiaceae	Rhus	ovata 	Rhus ovata	S. Watson
Anacardiaceae	Schinus	molle 	Schinus molle	L.
Anacardiaceae	Toxicodendron	diversilobum 	Toxicodendron diversilobum	(Torr. & A. Gray) Greene
Apiaceae	Apiastrum	angustifolium 	Apiastrum angustifolium	Nutt.
Apiaceae	Apium	graveolens 	Apium graveolens	L.
Apiaceae	Berula	erecta 	Berula erecta	(Huds.)Coville
Apiaceae	Bowlesia	incana 	Bowlesia incana	Ruiz & Pav.
Apiaceae	Conium	maculatum 	Conium maculatum	L.
Apiaceae	Daucus	pusillus 	Daucus pusillus	Michx.
Apiaceae	Foeniculum	vulgare 	Foeniculum vulgare	Mill.
Apiaceae	Lomatium	caruifolium 	Lomatium caruifolium	(Hook. & Arn.) J.M. Coult. & Rose
Apiaceae	Lomatium	utriculatum 	Lomatium utriculatum	(Nutt.) Coult. & Rose
Apiaceae	Sanicula	arguta 	Sanicula arguta	J.M. Coult. & Rose
Apiaceae	Sanicula	hoffmannii 	Sanicula hoffmannii	(Munz)R.H.Shan&Constance
Apiaceae	Torilis	arvensis 	Torilis arvensis	(Huds.) Link
Apiaceae	Torilis	nodosa 	Torilis nodosa	(L.) Gaertn.
Apiaceae	Yabea	microcarpa 	Yabea microcarpa	(Hook. & Arn.) Koso-Pol.
Apocynaceae	Asclepias	fascicularis 	Asclepias fascicularis	Decne.
Apocynaceae	Vinca	major 	Vinca major	L.
Asteraceae	1	millefolium 	Achillea millefolium	1
Asteraceae	Achillea	mollis 	Achyrachaena mollis	L.
Asteraceae	Achyrachaena	microcephala 	Acourtia microcephala	Schauer
Asteraceae	Acourtia	grandiflora 	Agoseris grandiflora	DC.
Asteraceae	Agoseris	pusillus 	Amblyopappus pusillus	(Nutt.) Greene var. grandiflora
Asteraceae	Amblyopappus	chamissonis 	Ambrosia chamissonis	Hook. & Arn.
Asteraceae	Ambrosia	psilostachya 	Ambrosia psilostachya	(Less.) Greene
Asteraceae	Ambrosia	cotula 	Anthemis cotula	DC.
Asteraceae	Anthemis	californica 	Artemisia californica	L.
Asteraceae	Artemisia	douglasiana 	Artemisia douglasiana	Less.
Asteraceae	Artemisia	glutinosa 	Baccharis glutinosa	Besser
Asteraceae	Baccharis	pilularis 	Baccharis pilularis	Pers.
Asteraceae	Baccharis	plummerae 	Baccharis plummerae	DC. subsp. consanguinea (DC.) C.B. Wolf
Asteraceae	Baccharis	salicifolia 	Baccharis salicifolia	A. Gray ssp. Plummerae
Asteraceae	Baccharis	nanum 	Blennosperma nanum	(Ruiz & Pav.) Pers. subsp. salicifolia
Asteraceae	Blennosperma	californica 	Brickellia californica	(Hook.) S.F. Blake var. nanum
Asteraceae	Brickellia	pycnocephalus 	Carduus pycnocephalus	(Torr. & A. Gray) A. Gray
Asteraceae	Carduus	benedicta 	Centaurea benedicta	L. subsp. pycnocephalus
Asteraceae	Centaurea	melitensis 	Centaurea melitensis	(L.) L.
Asteraceae	Centaurea	solstitialis 	Centaurea solstitialis	L.
Asteraceae	Centaurea	fitchii 	Centromadia fitchii	L.
Asteraceae	Centromadia	intybus 	Cichorium intybus	(A. Gray) Greene
Asteraceae	Cichorium	brevistylum 	Cirsium brevistylum	L.
Asteraceae	Cirsium	occidentale 	Cirsium occidentale	Cronquist
Asteraceae	Cirsium	occidentale 	Cirsium occidentale	(Nutt.) Jeps. var. californicum (A. Gray) D.J. Keil & C.E. Turner
Asteraceae	Cirsium	vulgare 	Cirsium vulgare	(Nutt.) Jeps. var. occidentale
Asteraceae	Cirsium	filaginifolia 	Corethrogyne filaginifolia	(Savi) Ten.
Asteraceae	Corethrogyne	australis 	Cotula australis	(Hook. & Arn.) Nutt.
Asteraceae	Cotula	coronopifolia 	Cotula coronopifolia	(Spreng.) Hook. f.
Asteraceae	Cotula	cardunculus 	Cynara cardunculus	L.
Asteraceae	Cynara	clementina 	Deinandra clementina	L. subsp. flavescens Wiklund
Asteraceae	Deinandra	fasciculata 	Deinandra fasciculata	(Brandegee) B.G. Baldwin
Asteraceae	Deinandra	increscens 	Deinandra increscens	(DC.) Greene
Asteraceae	Deinandra	californica 	Encelia californica	(D. D. Keck) B.G. Baldwin ssp. increscens
Asteraceae	Encelia	ericoides 	Ericameria ericoides	Nutt.
Asteraceae	Ericameria	bonariensis 	Erigeron bonariensis	(Less.) Jeps.
Asteraceae	Erigeron	canadensis 	Erigeron canadensis	L.
Asteraceae	Erigeron	foliosus 	Erigeron foliosus	L.
Asteraceae	Erigeron	glaucus 	Erigeron glaucus	Nutt. var. foliosus
